,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
198,False,98.0,0.0,0.014378938734372038,11.0,40.0,True,98.064953985713,0.4635873186878102,0.025622939956937152,98.064953985713
199,False,90.0,3.0,0.002854268145719605,15.0,60.0,True,91.9715601027074,0.7193741172750194,0.06288328945054891,91.9715601027074
200,False,8.0,0.0,,,,False,121.843165890519,-0.08983443611176388,0.05684062764940931,121.843165890519
201,False,48.0,0.0,2.3573967587094736e-05,44.0,120.0,True,50.89040525328311,1.1113507572750942,0.12100250643312936,50.89040525328311
202,False,70.0,4.0,0.0027175589195451984,23.0,60.0,True,82.24910068495845,0.7643616497222905,0.05340916663669514,82.24910068495845
203,False,24.0,1.0,,,,False,108.69015152999421,0.012373541610503767,0.021739919173408048,108.69015152999421
204,False,98.0,3.0,0.22755010231484973,2.0,40.0,True,97.4629316883127,0.5558481216463739,0.1538352888888015,97.4629316883127
205,False,78.0,0.0,0.0027175589195451984,21.0,60.0,True,85.91994909600437,0.7913591913184996,0.19055560509734823,85.91994909600437
206,False,12.0,0.0,,,,False,95.63854127593139,-0.39914468874835235,0.03750921825871381,95.63854127593139
207,False,92.0,1.0,0.0027175589195451984,17.0,60.0,True,93.03398938880628,0.5498264166489325,0.026946771997780294,93.03398938880628
208,False,82.0,4.0,0.0027175589195451984,19.0,60.0,True,90.83187778262473,0.6372901641452374,0.09153283598786001,90.83187778262473
209,False,62.0,3.0,0.0027175589195451984,20.0,60.0,True,67.2431421037465,1.0673225147597856,0.09963267815659914,67.2431421037465
210,False,82.0,3.0,0.0027175589195451984,22.0,60.0,True,88.5758184306299,0.6716646330028316,0.06457578760410497,88.5758184306299
211,False,10.0,0.0,,,,False,102.68223783538994,-0.2375751180767945,0.025661069280186407,102.68223783538994
212,False,36.0,2.0,0.9792933745097223,0.0,20.0,True,36.91250911808186,0.7956849050669457,0.030502409934365322,36.91250911808186
213,False,38.0,1.0,0.000536299530926331,24.0,80.0,True,40.198935669307225,1.2288318445951658,0.05408735742963495,40.198935669307225
214,False,76.0,4.0,0.0027175589195451984,20.0,60.0,True,87.72967661367396,0.7383532507638148,0.08149939091139724,87.72967661367396
215,False,28.0,2.0,,,,False,101.48268739855513,-0.17115814996091805,0.03660316794196895,101.48268739855513
216,False,96.0,0.0,0.014378938734372038,12.0,40.0,True,93.87381428341165,0.5445467756349538,0.04746275494753851,93.87381428341165
217,False,94.0,1.0,0.0027175589195451984,13.0,60.0,True,96.06288541645401,0.5695249834166654,0.05093729308816516,96.06288541645401
218,False,20.0,1.0,,,,False,87.04254369078663,-0.019168676695086685,0.07422690406974575,87.04254369078663
219,False,18.0,4.0,,,,False,69.1750921911655,-0.06632274413974149,0.0441751358069891,69.1750921911655
220,False,36.0,3.0,,,,False,34.0188835200399,-0.021711290491545326,0.0688735015966775,34.0188835200399
221,False,72.0,3.0,0.0027175589195451984,16.0,60.0,True,83.09201221967653,0.6791003497074093,0.1049914017773984,83.09201221967653
222,False,72.0,1.0,0.0027175589195451984,21.0,60.0,True,83.17140543767728,0.7635439793607789,0.229157928022535,83.17140543767728
223,False,70.0,2.0,0.0027175589195451984,18.0,60.0,True,80.07892027832202,0.7343323922548051,0.25777326077466556,80.07892027832202
224,False,76.0,2.0,0.0027175589195451984,21.0,60.0,True,86.41707995379011,0.746440565448458,0.23449859221996563,86.41707995379011
